n,n_2,Mass,Length,Energy
20,400,6.362450379344284e-29,6.456076994498595e-09,4.1389507342610757e-22
80,6400,2.5236855218008654e-29,7.1136419836752234e-09,3.4378966304201525e-21
49,2401,7.341562919019345e-28,4.7270064836710026e-09,1.6392954398178128e-22
29,841,1.06153869639233e-30,2.1433278564437812e-09,3.263675886359538e-19
20,400,2.1290737700636882e-29,2.7524398385409892e-09,6.804961738734398e-21
40,1600,9.826703860872865e-30,7.537796511714946e-09,3.93174530236272e-21
10,100,2.142062962631561e-27,6.62221696966736e-09,5.84228888883314e-24
97,9409,3.2056916239727398e-27,1.9136017917260455e-10,4.5349126453756435e-20
65,4225,5.953184793435405e-27,6.835881480759517e-09,1.2823217718445393e-23
17,289,3.411762919917037e-30,8.035955697227442e-09,4.2346457073324666e-21
64,4096,4.0352851508846504e-29,4.7737311029812406e-09,3.819547472294442e-21
4,16,2.99676696202208e-27,1.840000331591824e-09,2.1636812843759156e-23
5,25,1.7825240874321354e-30,3.859579318352344e-09,1.0334196801317686e-20
8,64,3.7624691403318407e-29,3.791500843751524e-09,8.117397219103897e-22
57,3249,8.685579748910077e-29,3.089929314000804e-09,3.7722548561957426e-21
26,676,5.8756544574546915e-30,4.308599227920164e-09,1.3081783997405648e-20
11,121,8.14642241701175e-27,5.178811064224085e-09,2.7630433381197426e-24
2,4,2.4084217612088007e-28,7.743164742125329e-09,7.601206416234055e-24
74,5476,2.3101903680725814e-27,2.3183491532810095e-09,3.270757428894444e-22
93,8649,2.3951864660112783e-30,4.18404840750683e-09,1.2172289992895404e-19
78,6084,1.1620337270081114e-28,4.551038533719104e-09,1.7785943808628448e-21
2,4,4.505899380515586e-28,1.881363989321876e-09,6.882162517842772e-23
79,6241,8.643161189166553e-28,5.992482137010511e-10,1.396892721758039e-20
47,2209,1.3262297931504982e-28,7.365060290102695e-09,3.5854901790575923e-22
41,1681,2.270155811313819e-28,4.936195187941302e-09,4.0678564062912783e-22
40,1600,7.612271479772321e-28,9.409983228037435e-09,3.256792551831814e-23
90,8100,1.285725587121454e-27,3.965052046555075e-09,2.4435346943198237e-22
55,3025,7.578726173528907e-27,1.867643527888484e-09,1.1418276911177205e-22
7,49,3.3969078874122866e-27,4.257458592601358e-09,6.2392943666622996e-24
91,8281,1.365887601571802e-30,2.5938017026189307e-09,5.434692287308315e-19
32,1024,1.997706466490624e-28,6.83774683102903e-09,1.880244560517835e-22
17,289,3.0000301755312137e-27,8.153468955419158e-09,4.678003326499475e-24
76,5776,2.8478433544528754e-27,7.793586983905046e-09,2.4112641713159526e-23
98,9604,3.119740067904624e-30,3.4987028949338583e-09,1.408366246697761e-19
85,7225,2.412650640457073e-29,7.263851290803537e-10,3.664482646045472e-19
37,1369,1.7585977799449844e-28,5.560543370579674e-09,3.7344169918548764e-22
79,6241,1.0697082844640896e-30,2.749231920488694e-09,5.36242274479656e-19
97,9409,2.265654531275269e-28,7.852589178289914e-09,3.810433289981875e-22
7,49,9.39929708390534e-29,5.706234542940979e-09,1.2552363240564306e-22
96,9216,8.360226672780853e-27,1.8436430715036616e-09,1.8540505076208343e-22
89,7921,1.8291598666594798e-28,3.580544987913607e-09,2.082869904523449e-21
36,1296,3.341416926396667e-30,9.841731196188319e-09,6.1045113582721805e-21
46,2116,4.869785310915802e-28,8.18943026627286e-09,7.729701265332801e-23
36,1296,1.1053823722618091e-28,7.894102048491335e-09,2.8681810725208736e-22
32,1024,5.2793679168417646e-27,5.018738079515697e-09,1.3206905160673877e-23
51,2601,8.113708982580057e-28,3.628185842419822e-09,2.62055797838994e-22
67,4489,3.795719800852231e-27,6.316466737359637e-09,2.4280314186443304e-23
19,361,8.579841571824458e-28,3.1249325700361924e-09,1.2445578920335438e-22
68,4624,1.605709556105939e-30,6.63526372682005e-09,5.2789507994287055e-20
33,1089,1.9381125742492287e-30,2.4171247186526973e-09,1.5994066344385039e-19
63,3969,1.3074211554805054e-28,3.5847107188392944e-09,2.0579692646313376e-21
23,529,1.2856875615848781e-30,9.650776011924817e-09,1.0541198546060162e-20
84,7056,2.1313698931724784e-30,7.500047198669675e-09,3.845161083213806e-20
8,64,3.6559146239671716e-28,9.237291486466318e-10,1.407429719270166e-21
68,4624,3.376271922534524e-29,4.604316869490612e-09,5.2139055434847735e-21
90,8100,7.816130315985698e-30,9.062830537785925e-09,7.693874021326501e-21
97,9409,2.9616478172136217e-29,9.427012130184323e-09,2.022610516283713e-21
31,961,5.4714186125318035e-28,8.26234077051777e-09,4.554887094937099e-23
86,7396,6.482128005055243e-29,5.81198827323908e-10,2.155526971569583e-19
99,9801,9.559533366123031e-28,8.2404205549218e-09,8.369929878784322e-23
58,3364,6.07163011817193e-27,6.53117122218687e-09,1.2290303849363402e-23
17,289,9.926846176412431e-29,2.907168590512466e-09,1.1120370715921304e-21
95,9025,1.9249420161207902e-28,1.240763527253487e-09,1.7593408540079343e-20
90,8100,1.0517272335578039e-30,2.697225752296874e-10,6.455455125266526e-17
26,676,6.645485834501229e-28,7.0060629836578875e-09,4.3744213117801566e-23
36,1296,2.1886254313161613e-30,3.805212952061839e-09,6.234407686713884e-20
77,5929,3.469971995154061e-29,5.833156184369844e-09,3.5791476726483256e-21
89,7921,9.716182529339813e-29,2.8158874499205116e-10,6.339949946643142e-19
73,5329,3.903157931408164e-30,5.257983661047027e-09,3.712704148362314e-20
49,2401,4.0219774893143226e-28,2.260087135045802e-09,1.3089653487762508e-21
6,36,8.948674685735401e-28,9.034629386195115e-09,4.508103914310022e-24
46,2116,2.5464151414926823e-29,1.3020685850072763e-09,5.847671584715214e-20
93,8649,3.637998476714377e-30,7.82578813005313e-09,2.2907955756927453e-20
15,225,1.7582797586809334e-27,4.535293830216176e-09,2.2762213687381678e-23
57,3249,3.6944293150288444e-28,6.477026754113845e-10,2.01835792363473e-20
73,5329,9.836869471707343e-28,9.895302493605683e-09,4.1593922051540195e-23
3,9,2.7294586294027846e-30,2.1849236454856563e-09,1.2635553797940387e-20
81,6561,2.612072398578278e-29,5.660814059291678e-09,5.310850802523979e-21
69,4761,1.3518972766289171e-30,1.7571073007724563e-09,9.0725820170716e-19
33,1089,3.947093556799992e-30,8.271881282792838e-09,6.705790876213168e-21
21,441,7.108999230104322e-28,3.4331019278873924e-10,1.3754965454567918e-20
80,6400,1.5434731309857185e-28,4.240663664039207e-09,1.5817772581141173e-21
24,576,9.662542504688601e-29,1.2693348784619103e-10,8.460372188519381e-19
78,6084,1.5631049310294995e-30,2.3115091734318266e-09,5.12551252125596e-19
90,8100,4.821440598584616e-28,4.284997897826495e-09,5.579387619455087e-22
66,4356,1.869646925458686e-30,7.719306306290493e-09,3.251246211140613e-20
84,7056,7.281403328733004e-28,3.766192026250038e-09,4.46355973097479e-22
59,3481,3.5968412895697776e-29,5.882160426768488e-09,2.6018309673597136e-21
27,729,5.890035530864166e-28,6.658436323315403e-09,5.674445377081622e-23
33,1089,3.1434623235851195e-28,9.899946811928172e-09,5.878439186073966e-23
36,1296,8.928796058864626e-29,8.260136319198714e-09,3.2430768484139576e-22
72,5184,1.840808649896443e-29,8.784059680370712e-10,2.78198873016873e-19
3,9,5.864088026847562e-27,8.808153021033824e-09,3.6188713463653273e-25
5,25,2.4141908544057282e-30,4.993741791680739e-09,4.5579369180724515e-21
71,5041,5.118388716332666e-29,8.096263099724423e-09,1.161389592166945e-21
15,225,2.1203252099246058e-29,7.431050057222989e-09,7.030892864776878e-22
57,3249,1.1622638585239196e-27,4.324341158878757e-09,1.439303215603853e-22
42,1764,2.3288658897994374e-28,4.3935665783127946e-09,5.127344032129817e-22
62,3844,6.687544549513988e-27,7.571525007045674e-09,8.87524501198716e-24
40,1600,2.3003989742123075e-27,9.199870332413783e-09,1.1274972349215042e-23
75,5625,1.2275058319788627e-30,1.0467158276548583e-09,3.060569094918199e-18
46,2116,3.548735926589895e-27,6.683707769413073e-09,1.5924702004051542e-23
66,4356,1.1844938990830974e-27,5.9050482120325326e-09,8.769731232871412e-23
31,961,1.0148376955466704e-30,3.757060629632802e-09,1.1876562762197816e-19
80,6400,2.789020939064263e-29,4.13782985307875e-09,9.194222869110749e-21
32,1024,6.430662619521101e-29,3.4770135938674158e-09,2.258934028918921e-21
89,7921,3.9108068360783854e-28,8.600962112344658e-09,1.6883078652138915e-22
84,7056,1.951926483763427e-30,6.775510225098039e-09,5.144626983491511e-20
55,3025,2.938705544196643e-27,5.584013867182299e-09,3.294091912541086e-23
65,4225,3.7476816547269994e-27,6.585258069813271e-10,2.1949626636552625e-21
88,7744,1.0980182566494775e-29,5.361708177244446e-10,1.5299908626815887e-18
98,9604,2.786266415876464e-27,7.838197702436933e-09,3.141905224362315e-23
10,100,1.797358245038021e-30,3.774754556836487e-09,2.1429398818745277e-20
63,3969,1.3798933007412327e-29,3.950302371057462e-09,1.6056705289914166e-20
31,961,9.582688132834066e-28,6.511180911408649e-10,4.1877127750927596e-21
51,2601,1.46131613963505e-28,7.78628731304799e-09,3.1592734434680903e-22
49,2401,1.2075481118535944e-30,7.044012484611985e-10,4.4882131584238606e-18
80,6400,8.767122757176208e-28,9.704264617843257e-09,5.317771968236054e-23
39,1521,2.160598546051947e-28,9.031207167176088e-09,1.2145656378458592e-22
92,8464,3.3095843591679574e-29,7.071088656264742e-09,3.051152248938422e-21
1,1,2.187301640339129e-28,1.583453392971179e-09,1.0006975195568225e-22
15,225,7.330505435186935e-29,6.643029152905023e-09,2.5447615497575216e-22
51,2601,7.639805282159908e-29,3.356162762939735e-09,3.2525496081140867e-21
22,484,3.560004628770083e-28,2.1405661383273907e-09,7.401792192562349e-22
14,196,3.03839034872976e-28,1.3358200986256064e-09,1.4171329388872184e-21
16,256,5.612707402586548e-29,1.9593088423327276e-09,4.075340074635106e-21
10,100,2.639190077653595e-29,3.4005097875866877e-09,1.7983049665398455e-21
15,225,1.1150556621530683e-30,1.0609235362024423e-09,6.559165894376176e-19
81,6561,2.413471666957165e-29,7.539150390327334e-09,3.2405600424117245e-21
16,256,3.6793851080497096e-28,5.831517732202896e-10,7.017842337982472e-21
50,2500,4.5486588423577084e-27,2.448512726090667e-09,1.006245566386655e-22
55,3025,3.4098550357969464e-30,5.347141625628673e-09,3.0960322160250644e-20
40,1600,4.171532827117969e-30,5.8034799553954765e-09,1.562461842693262e-20
89,7921,4.705403259170726e-28,6.624257712287017e-10,2.3655971564559214e-20
31,961,3.1738390923029854e-27,1.328552346965219e-09,3.036977111091946e-22
82,6724,1.2183254784086413e-29,9.499853386834094e-09,4.092972174212599e-21
19,361,2.0285614847225558e-29,6.508964475426015e-09,1.2132874205073626e-21
93,8649,5.895874070686251e-28,1.5765515152929308e-09,3.482895858926205e-21
8,64,3.7869253019739256e-27,5.760797392914022e-09,3.493494931378718e-24
48,2304,8.096964952724596e-28,8.525225257034574e-09,4.476404502958965e-23
84,7056,7.298658821760904e-27,5.207948542041039e-09,2.3287610364680178e-23
11,121,1.2535121493062188e-27,8.216651804983811e-09,7.133397786808572e-24
41,1681,8.506929259021443e-28,5.977658895094309e-09,7.402371020699057e-23
80,6400,4.337758753037672e-30,8.665441192839041e-09,1.3479236876727935e-20
21,441,6.832805546433803e-29,6.631488736075681e-09,3.835484505514146e-22
77,5929,4.7905067904984494e-30,8.074353988900898e-09,1.353055983052074e-20
96,9216,2.873325157091438e-29,4.373589132694571e-09,9.585892759360798e-21
44,1936,4.101082958990846e-29,4.979187443947958e-10,2.3749760925862633e-19
58,3364,1.7633085015381894e-28,9.716376033225612e-09,1.9121111583377675e-22
44,1936,1.867856272248273e-30,4.3401710423220296e-09,6.863056958362475e-20
80,6400,6.773688625025645e-30,2.4742387642658504e-09,1.0587748494056233e-19
97,9409,1.3269213259612216e-30,1.3994655417904104e-09,2.0484445528682457e-18
67,4489,1.0197704695844627e-28,4.7526562428374894e-09,1.5963261820069668e-21
11,121,1.697624871293098e-28,9.482397722096164e-09,3.9549108076677353e-23
73,5329,1.8102248066619185e-30,5.8336683258779696e-09,6.503227585797131e-20
68,4624,1.3373987457699108e-27,7.572966662879849e-09,4.865617703500373e-23
91,8281,8.14423464638676e-29,4.756433769015466e-09,2.7105054124377182e-21
69,4761,4.2903540022281194e-27,2.7178200386071947e-09,1.194913979416302e-22
4,16,9.666035631319162e-30,8.226301238254172e-09,3.3560193311717794e-22
87,7569,5.658786059951165e-28,3.1390374501321987e-09,8.562982478419721e-22
11,121,2.468398561221965e-28,9.550497164812517e-09,2.681312991554619e-23
26,676,8.14963948366965e-30,8.70180794879741e-09,2.3122672841152866e-21
69,4761,3.547342160614672e-29,2.822331978843937e-10,1.340145303660318e-18
29,841,3.9248622870340885e-28,8.35498605080548e-09,5.809037611167031e-23
16,256,2.912493715962219e-29,7.320181309672573e-09,5.626435978541864e-22
78,6084,1.5263645405940118e-30,2.2917956206252028e-09,5.339574322371453e-19
49,2401,2.9348266864682617e-30,9.49917021426148e-09,1.0154635822029744e-20
20,400,8.789348791163411e-30,8.988927216686308e-09,1.545537832863201e-21
75,5625,1.1042360332733149e-29,1.4239864989679543e-09,1.8382715969094855e-19
10,100,3.298056242298547e-28,7.099875233756519e-09,3.3011296441371327e-23
98,9604,4.797715147640381e-27,6.714384525306109e-10,2.4865733224573074e-21
48,2304,9.92027899997851e-30,5.6201436507981775e-09,8.407068580694839e-21
49,2401,7.9787934002258e-30,5.024896979216979e-09,1.3348319943621693e-20
29,841,4.5515790281084406e-29,8.720023030806554e-09,4.598569114652243e-22
83,6889,1.0381474590905985e-29,2.0972752077142732e-10,9.975398933634937e-18
58,3364,8.811056483915153e-27,7.744147395519815e-09,6.023859853753513e-24
42,1764,7.343291272419103e-29,4.345939033514638e-09,1.6619323754436448e-21
13,169,6.903429582704623e-30,2.2896437415744255e-09,1.9713543627162016e-20
81,6561,9.554447658190424e-30,6.38686237266195e-09,1.1405816741242814e-20
56,3136,8.329663639731902e-27,3.084192361879014e-09,3.8788208355000914e-23
12,144,1.4336667724673897e-27,5.8988379953583794e-09,1.3201465957690196e-23
41,1681,2.9527370905351428e-30,2.620334529961384e-09,1.1098586453937982e-19
41,1681,1.7076512178665154e-30,9.490509705789478e-10,1.4629439292008285e-18
66,4356,1.4489824233727765e-29,6.433343173541401e-09,6.039895892455107e-21
22,484,5.828660456956144e-28,5.617943710578433e-09,6.563284485707278e-23
14,196,2.8063541859114315e-27,1.7552148053542798e-09,8.886834219007163e-23
76,5776,1.1075714477079356e-28,9.027525227858656e-09,4.620899159884908e-22
31,961,5.615078589856443e-27,9.383037166392504e-09,3.441446745172951e-24
30,900,2.677179625540437e-29,7.173635734176335e-09,1.1950530240123124e-21
67,4489,1.7241705832274786e-30,2.7186308106827096e-09,2.8854674157608497e-19
100,10000,5.558594857136577e-28,7.609077188491534e-09,1.7052696833960294e-22
51,2601,9.244664684791665e-30,9.513935890860143e-09,3.344880782332559e-21
39,1521,1.5627285559027146e-29,6.621234183450314e-09,3.1241022074974516e-21
62,3844,9.317747085956507e-29,6.762999699850077e-10,7.984065790274492e-20
93,8649,3.1967668568645406e-27,5.732966389913775e-09,4.8577511708221604e-23
32,1024,8.076289059487999e-27,3.85712510550662e-09,1.461614170720688e-23
86,7396,2.14682626192541e-29,6.771023480206601e-09,4.795291186298969e-21
19,361,1.994751257872866e-27,1.3916972420916204e-10,2.6989658658209157e-20
59,3481,2.1316881743073278e-29,5.187264295359224e-09,5.645126198538055e-21
84,7056,8.48627631113127e-30,8.851134010206447e-09,6.934040234747602e-21
66,4356,1.1963845289200105e-28,2.6919460138880427e-09,4.177943159049749e-21
85,7225,5.795635751512461e-29,9.558254711218063e-09,8.810138092241901e-22
69,4761,4.171971196454822e-30,6.629850970493529e-09,2.065010807060052e-20
77,5929,2.2632547661853767e-29,7.592839723762706e-09,3.238701246282663e-21
61,3721,5.043128929315748e-28,3.770580722305843e-09,4.669123379294721e-22
67,4489,5.29822515255978e-29,2.1986448888790882e-09,1.435675481047529e-20
61,3721,6.382362778190049e-29,9.392722818534849e-09,5.945486645039042e-22
66,4356,1.5603587955846071e-30,3.697681205154315e-09,1.697784648711869e-19
24,576,2.0738983759651656e-27,8.229503680763738e-09,9.377747920058446e-24
25,625,1.2834469546547338e-28,5.378892033261708e-09,3.6948643826983114e-22
85,7225,1.7933356019476894e-28,4.23736577426291e-09,1.4487302165693927e-21
47,2209,3.58698546472863e-29,2.1499081545443453e-10,1.555788292488409e-18
88,7744,5.4661415522220745e-30,7.581047608965801e-09,1.537324051946893e-20
36,1296,3.812049031056386e-29,8.108965644054775e-09,7.881977192911753e-22
79,6241,1.4156188132070431e-30,4.818052397317426e-09,1.3193493275111803e-19
50,2500,4.275133043055861e-28,9.431148012782345e-10,7.216279071622859e-21
76,5776,3.991286608564917e-27,7.22793601803332e-09,2.0002954641833864e-23
76,5776,2.4830290762475854e-29,7.938757149714054e-09,2.6653167293403278e-21
55,3025,1.0254858728424163e-29,6.619185839221378e-09,6.718091747399449e-21
11,121,8.241195201463728e-30,7.536211225786909e-09,1.2897882946517273e-21
51,2601,1.1455874459465347e-27,3.0011763574420194e-10,2.7125700930126244e-20
58,3364,9.260519975906126e-27,4.127682074365546e-09,2.0174473698293473e-23
26,676,1.0224027301842137e-29,9.771339723585375e-09,1.4617233806574224e-21
54,2916,8.841853505676e-30,7.346979396906926e-10,6.209474853586327e-19
73,5329,6.834131842191259e-28,7.159728839225364e-09,1.1435849468082318e-22
63,3969,1.3521734801992463e-28,7.272680251073126e-10,4.834384842012809e-20
86,7396,5.098256417996599e-28,2.3135375325721928e-09,1.7296002905584127e-21
49,2401,1.7320062870710433e-30,1.714720914225791e-09,5.280582084238011e-19
3,9,9.268653603182608e-27,5.548003137475513e-09,5.77102929635427e-25
92,8464,1.1186206246520007e-27,9.981804381053041e-09,4.530112296276558e-23
92,8464,1.9493629936174267e-30,9.255383316112319e-10,3.0236280251276508e-18
36,1296,3.1479210354306105e-30,1.704621182511764e-09,2.1599563820169475e-19
38,1444,4.83409342197862e-27,3.303959172919634e-09,3.952039577173312e-23
22,484,3.57302237440313e-29,2.0659186880102547e-09,7.917399666295326e-21
70,4900,1.0185408540654753e-27,9.99211439433645e-09,3.777694759457892e-23
5,25,1.646014837356609e-27,3.1253509472541935e-09,1.7067139859601e-23
36,1296,6.25902479003256e-30,9.357817797362597e-09,3.604696717625326e-21
91,8281,7.181879364186776e-30,8.499326775013347e-09,9.626231558329122e-21
78,6084,1.2602116566189773e-30,2.015289453473955e-09,8.363697521892503e-19
58,3364,5.0799552566965944e-27,1.8857040896261107e-09,1.7621508853530013e-22
6,36,1.0723022986403701e-29,7.48010267704151e-09,5.488339478915371e-22
91,8281,5.685463253335504e-30,2.6821852100480044e-09,1.2210124168379355e-19
100,10000,3.390602849391831e-27,4.062901519240986e-09,9.805563535523383e-23
85,7225,8.253314004460032e-28,4.039601466168681e-09,3.463662652201027e-22
25,625,3.1531402706486665e-29,3.4151039604179423e-09,3.7308770039755e-21
85,7225,4.345738008183391e-28,4.543093432144328e-10,5.2008475076592995e-20
57,3249,3.519344640647706e-27,7.5110357766524e-09,1.5755618919757242e-23
1,1,2.514683175439762e-28,1.709383309981632e-09,7.468955589799213e-23
80,6400,5.330325324211522e-30,3.1475154033144053e-10,8.314241107150246e-18
74,5476,4.3931004822881244e-27,9.617984164522631e-09,9.993429184731082e-24
37,1369,1.3978178500333165e-29,8.868226427851636e-09,1.8471393805326286e-21
1,1,1.4622572930588134e-27,2.0495153975257712e-09,8.935027735277469e-24
27,729,2.4472784711179516e-30,6.669744170834268e-09,1.361081384049892e-20
82,6724,2.076924207288641e-30,9.523821530117415e-10,2.3888714448743226e-18
77,5929,8.025989700392143e-29,7.63960124892146e-09,9.021376681540653e-22
52,2704,4.063224031352731e-28,7.63572417302661e-09,1.2046314110982526e-22
81,6561,3.0430697719144074e-28,3.881242594066477e-09,9.69736188938308e-22
63,3969,4.77944517417849e-28,3.5454662117060096e-09,5.754908664907413e-22
7,49,7.208275480263831e-30,4.921638038895675e-09,2.2002366532973576e-21
46,2116,1.386321681789867e-29,2.369162213107649e-09,3.244339495030124e-20
75,5625,2.442884950504801e-29,1.672196416624656e-09,6.025675560954198e-20
59,3481,1.7456917068106054e-29,5.725691222441226e-09,5.6578403394925415e-21
89,7921,3.334491649631219e-29,1.298992283532902e-09,8.680990918693579e-20
40,1600,1.1161153698824808e-27,1.2711289721106362e-09,1.2172891175896037e-21
43,1849,1.2283275195485925e-30,9.157744475077691e-09,2.2908639745717228e-20
53,2809,3.8491610229181816e-28,7.1504582427672965e-09,1.4779648737152696e-22
85,7225,1.0393695345044594e-27,2.596282688503956e-09,6.658356734425745e-22
13,169,1.6769395307099624e-28,2.8457640499533275e-09,5.253518237561222e-22
22,484,8.380747964574385e-29,3.1138687193407116e-09,1.4858034926613671e-21
68,4624,1.3795312065675968e-27,8.005749817294305e-09,4.22080634947603e-23
32,1024,6.461312636872689e-29,9.136328605038586e-09,3.2561760085718554e-22
7,49,1.4616785425517003e-30,8.108160856450075e-09,3.9978226880017145e-21
65,4225,3.674767538042838e-30,4.194513323564204e-10,5.517500748675209e-18
26,676,8.983840180660656e-29,5.793912653135411e-09,4.731398361654078e-22
34,1156,2.3954972145411642e-29,1.4363972209016752e-09,3.7753411896930615e-20
100,10000,2.726085683980097e-28,5.339792714999156e-09,7.060472612890037e-22
69,4761,4.9692824380516194e-29,4.020298814336199e-09,4.714773280096263e-21
17,289,1.1436526550013458e-30,4.6099573628113825e-09,3.838689930056173e-20
33,1089,2.2740153150566534e-30,9.68731709008917e-09,8.48663639486426e-21
39,1521,1.1667109414962621e-30,1.1137143849006081e-09,1.4790258003145326e-18
84,7056,5.960997568330713e-30,3.0767815435431488e-09,8.169379849437452e-20
1,1,2.7499202802570664e-27,9.76733298959393e-09,2.0919436406347215e-25
49,2401,1.8997028148339038e-28,2.0235240680571783e-09,3.457130208773152e-21
82,6724,2.023109349430323e-30,4.5644442103448243e-10,1.0676791474799568e-17
64,4096,1.4341090850543196e-29,2.4899455855460415e-09,3.950391573969056e-20
95,9025,3.011843903555352e-28,8.975772851226093e-09,2.148668963177973e-22
98,9604,8.210007047877682e-28,3.1089001853277904e-09,6.777836060605031e-22
89,7921,1.125846343320591e-30,6.8464153001938404e-09,9.2556404952542e-20
19,361,8.213209074621037e-28,9.187346935332758e-09,1.5041202604018828e-23
28,784,1.1379103130657066e-29,3.3282688802891953e-09,1.2190885746861742e-20
8,64,5.749842608555503e-28,7.90881612105683e-09,1.2207680244514365e-23
99,9801,1.3874769351355663e-27,2.5584379926966746e-09,5.982486162253514e-22
96,9216,1.1334907680096215e-30,5.320597723147261e-10,1.6419293614948262e-17
85,7225,2.3543348136078183e-29,9.104722005856497e-09,2.3902283486518626e-21
8,64,1.3246728631059365e-30,6.379428977183396e-09,8.144038269737236e-21
24,576,1.743713745699918e-29,7.814282937062594e-09,1.2370289359332571e-21
19,361,2.2569141492752724e-29,6.297160759856832e-10,1.1651211140457897e-19
11,121,2.0419183747363167e-27,5.0895654148333436e-09,1.1413398436419185e-23
35,1225,3.0426024167438902e-28,1.8022658234798372e-09,1.9436014567291177e-21
81,6561,9.883080258623264e-29,7.104083862535396e-09,8.912480843723766e-22
32,1024,2.861461264472617e-28,6.075069091343662e-09,1.6629597430574628e-22
5,25,1.1131247786674911e-30,3.080739063952172e-09,2.59739735996395e-20
18,324,1.1464808684988496e-28,7.321416018654984e-09,1.6074504507283919e-22
96,9216,3.809502200553016e-30,1.3976222540925984e-09,7.080198956022996e-19
72,5184,7.813357664136967e-30,7.27480618217222e-09,9.555953084667103e-21
27,729,1.721772453286172e-27,1.56506988864173e-09,3.513521448621649e-22
54,2916,3.5464621360603396e-29,7.640965515315907e-09,1.4312780958614751e-21
6,36,9.395022031955955e-30,8.801255526909055e-09,4.524663219569211e-22
14,196,5.965227757200308e-27,2.1847177679735044e-09,2.69856197209355e-23
62,3844,2.132364740256504e-29,8.02965544676726e-10,2.4749045187664057e-19
84,7056,5.984308061230774e-27,3.678250839825479e-09,5.693833066380162e-23
94,8836,1.2040452417633498e-29,3.1894492313044478e-09,4.211877510421485e-20
74,5476,1.8669217873978514e-29,7.153392526348906e-09,4.2511218593273406e-21
89,7921,2.6670016166551968e-30,5.7715703189978925e-09,5.497950392210416e-20
72,5184,6.637578627098679e-27,9.592368317593616e-09,6.469834890484432e-24
61,3721,2.97895627286371e-30,3.2537099886064995e-10,1.0615246838752336e-17
3,9,1.3003996217920776e-29,4.436942978774296e-09,6.431300424766772e-22
45,2025,3.3038842316825214e-29,6.956401354571225e-09,1.544687038787433e-21
92,8464,3.3526801336858945e-28,7.057440609342378e-09,3.023592879870838e-22
20,400,4.8842573844643175e-27,3.3001764423071977e-09,2.0633799496191526e-23
54,2916,4.4972925034210703e-29,5.625404041375895e-09,2.082366915129221e-21
56,3136,1.7170945472324247e-28,8.315592815459138e-09,2.588388484962284e-22
98,9604,3.396872180414068e-27,7.688009390208554e-09,2.67880519235468e-23
33,1089,1.6399424012104147e-29,7.967989178031763e-09,1.7394419743285747e-21
15,225,5.219531626017605e-29,5.375925577984162e-09,5.457268248033712e-22
29,841,5.161254106627981e-27,4.5414779000141755e-09,1.4951006078416915e-23
